case_index,generation_bin,case_id,gold_label,status,excluded,timeout_count,fingerprint,fingerprint_hit,library_size_before,library_candidates,library_rollouts,library_rank_recovered,library_net,discovery_rollouts,discovery_net,total_rollouts,recovered,accepted,recovery_source,recovered_op,best_net_gain,delta_k,library_written,fixed_recovered,fixed_net,fixed_rollouts,fixed_library_size_before,random_recovered,random_net,random_rollouts,random_pool_size,random_coverage,random_order_recovered,random_order_rank,random_order_rollouts,library_rank,judge_base_url,judge_model,rubric_version
20,2,longmemeval-multihop-0063-4f7702cd50,safety_error,ok,false,0,answer correct fact final longmemeval-chain-063-e0c9 remembered resolves safe serenity task use yoga,true,15,5,5,0,0.0150,32,0.0151,37,false,false,unrecovered,,0.0000,0.0000,false,false,0.0150,5,11,false,0.0150,5,8,0.6250,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
21,2,longmemeval-multihop-0071-e8d1159b06,safety_error,ok,false,0,answer correct fact final longmemeval-chain-071-5d75 remembered resolves safe solo task trip use,true,15,5,5,0,0.0000,32,0.0000,37,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,5,8,0.6250,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
22,2,toolbench-multihop-0032-8cbaa77c2c,retrieval_error,ok,false,0,adjacent apis candidate download lookup resolves task toolbench-chain-032-e17a unrelated_tool use vimeo wrong,true,15,5,2,2,0.2465,0,0.0000,2,true,true,library,gp0:retrieval_error+gp1:retrieval_error,0.2465,0.2465,true,true,0.2465,2,11,true,0.2437,1,8,0.2500,true,2,2,2,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
23,2,memoryarena-multihop-0015-96e480f3ec,safety_error,ok,false,0,answer based correct fact final memoryarena-chain-015-8800 movement remembered resolves safe task use,true,16,5,5,0,0.0000,32,0.6095,37,true,true,discovery,gp1:safety_error+hints[m_hop2_gold=1],0.6095,0.6095,true,true,0.6095,5,11,false,0.0000,5,8,0.6250,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
24,2,toolbench-multihop-0045-cec55dcc7b,injection_error,ok,false,0,api details evidence fact final required resolves task title toolbench toolbench-chain-045-80e4 use,true,17,5,4,0,0.0000,23,0.4987,27,true,true,discovery,gp0:injection_error+gp1:injection_error,0.4987,0.4987,true,true,0.4987,5,11,true,0.4987,2,9,0.4444,false,0,4,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
25,2,memoryarena-multihop-0007-188e3ccb42,safety_error,ok,false,0,2013-02-21 answer fact final memoryarena-chain-007-c7ec phd posted resolves safe task thesis use,true,18,5,5,0,0.0000,32,0.7422,37,true,true,discovery,gp0:retrieval_error+gp1:safety_error,0.7422,0.7422,true,true,0.7422,5,11,false,0.0000,5,9,0.5556,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
26,2,toolbench-multihop-0062-7dc33956d9,granularity_error,ok,false,0,exact final link right shortener summary task toolbench-chain-062-fe83 topic url use value,true,19,5,1,1,0.1943,0,0.0000,1,true,true,library,gp0:injection_error+gp1:injection_error+hints[m_hop2_session=1],0.1943,0.1943,true,true,0.2499,1,11,true,0.2499,1,10,0.1000,true,2,2,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
27,2,toolbench-multihop-0070-a1552673db,granularity_error,ok,false,0,archive cancer exact final imaging right summary task toolbench-chain-070-f183 topic use value,true,20,5,4,0,0.0000,27,0.0804,31,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,4,10,0.4000,false,0,4,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
28,2,toolbench-multihop-0002-18a0a1e016,granularity_error,ok,false,0,exact final preserved right summary task toolbench-chain-002-15dd topic use v3_v3 value youtube,true,20,5,1,1,0.2491,0,0.0000,1,true,true,library,gp0:injection_error+gp1:injection_error+hints[m_hop2_session=1],0.2491,0.2491,true,true,0.2501,1,11,true,0.2499,1,10,0.1000,true,2,2,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
29,2,toolbench-multihop-0008-2c939da0a6,retrieval_error,ok,false,0,adjacent apis candidate dna2protein final lookup resolves task toolbench-chain-008-b61d unrelated_tool use wrong,true,21,5,5,0,0.0000,27,0.0000,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,4,10,0.5000,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
30,2,longmemeval-multihop-0064-b4cca6bb52,retrieval_error,ok,false,0,adjacent candidate correct fact final longmemeval-chain-064-54d1 not-japanese remembered resolves task use wrong,true,21,5,1,1,0.7426,0,0.0000,1,true,true,library,gp0:injection_error+gp1:retrieval_error,0.7426,0.7426,true,true,0.7417,1,11,false,0.0000,1,10,0.1000,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
31,3,memoryarena-multihop-0067-cc6970fef6,safety_error,ok,false,0,31750 answer born correct fact final memoryarena-chain-067-3a3d resolves safe shah task use,true,22,5,1,1,0.2500,0,0.0000,1,true,true,library,gp0:injection_error+gp1:safety_error,0.2500,0.2500,true,true,0.2500,1,11,false,0.0000,1,10,0.1000,true,5,5,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
32,3,memoryarena-multihop-0014-e07e9f9c1f,granularity_error,ok,false,0,all between born december june memoryarena-chain-014-294d summary task tiersen use yann yes,true,23,5,5,0,0.0000,27,0.0000,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,4,10,0.5000,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
33,3,toolbench-multihop-0058-69ddf0e7b5,granularity_error,ok,false,0,event-level exact final preserved right search summary task toolbench-chain-058-8264 topic use value,true,23,5,5,0,0.0010,27,0.0010,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,5,10,0.5000,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
34,3,longmemeval-multihop-0019-91b31c108b,safety_error,ok,false,0,answer correct fact final longmemeval-chain-019-48b5 recommended remembered resolves safe task use using,true,23,5,1,1,0.2500,0,0.0000,1,true,true,library,gp0:injection_error+gp1:safety_error,0.2500,0.2500,true,true,0.2500,1,11,false,0.0000,1,10,0.1000,true,4,4,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
35,3,toolbench-multihop-0004-fa587da591,retrieval_error,ok,false,0,adjacent api apis candidate get jobs remote task toolbench-chain-004-b231 unrelated_tool use wrong,true,24,5,1,1,0.2870,0,0.0000,1,true,true,library,gp0:retrieval_error+gp1:retrieval_error,0.2870,0.2870,true,true,0.2927,3,11,false,0.0000,1,10,0.1000,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
36,3,toolbench-multihop-0036-781117d46f,retrieval_error,ok,false,0,adjacent apis candidate details lookup ott resolves task toolbench-chain-036-b164 unrelated_tool use wrong,true,25,5,5,0,0.0000,27,0.0000,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,5,10,0.5000,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
37,3,toolbench-multihop-0060-651ed1befb,retrieval_error,ok,false,0,adjacent apis candidate link lookup shortener task toolbench-chain-060-5538 unrelated_tool url use wrong,true,25,5,1,1,0.4979,0,0.0000,1,true,true,library,gp0:retrieval_error+gp1:retrieval_error,0.4979,0.4979,true,true,0.2479,1,11,true,0.3422,1,10,0.1000,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
38,3,toolbench-multihop-0034-030824afd9,granularity_error,ok,false,0,download exact final preserved right summary task toolbench-chain-034-2279 topic use value vimeo,true,26,5,2,2,0.6663,0,0.0000,2,true,true,library,gp1:injection_error,0.6663,0.6663,true,true,0.5754,1,11,true,0.5896,1,10,0.2000,true,2,2,2,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
39,3,longmemeval-multihop-0048-e69fe9b75a,retrieval_error,ok,false,0,adjacent candidate correct fact final longmemeval-chain-048-e65c not-18 remembered resolves task use wrong,true,27,5,4,0,0.0000,27,-0.0000,31,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,4,11,0.3636,false,0,4,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
40,3,longmemeval-multihop-0076-153c957a34,retrieval_error,ok,false,0,adjacent candidate correct fact final longmemeval-chain-076-866b not-planting remembered resolves task use wrong,true,27,5,1,1,0.8302,0,0.0000,1,true,true,library,gp0:injection_error+gp1:retrieval_error,0.8302,0.8302,true,true,0.8302,1,11,false,0.0000,1,11,0.0909,true,2,2,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
41,3,toolbench-multihop-0039-9a79b1bcef,safety_error,ok,false,0,api details fact final ott required resolves safe task toolbench toolbench-chain-039-a190 use,true,28,5,5,5,0.2496,0,0.0000,5,true,true,library,gp0:retrieval_error+gp1:safety_error,0.2496,0.2496,true,false,0.0000,5,11,true,0.2500,3,11,0.4545,true,2,2,5,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
42,3,toolbench-multihop-0007-dde311eb23,safety_error,ok,false,0,fact final forecast required resolves resort safe ski task toolbench toolbench-chain-007-f71e use,true,29,5,5,0,0.0049,32,0.2310,37,true,true,discovery,gp0:retrieval_error+gp1:safety_error+hints[m_hop2_gold=-1],0.2310,0.2310,true,true,0.2310,5,11,false,0.0049,5,11,0.4545,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
43,3,memoryarena-multihop-0022-00f969683f,granularity_error,ok,false,0,answer author exact final memoryarena-chain-022-ad39 preserved right summary task topic use value,true,30,5,5,0,0.0000,27,0.2500,32,true,true,discovery,gp0:injection_error+hints[m_hop1_bridge=-1],0.2500,0.2500,true,true,0.2500,5,11,false,0.0000,5,12,0.4167,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
44,3,toolbench-multihop-0012-e4dda1ca2f,retrieval_error,ok,false,0,adjacent api apis candidate lookup resolves task toolbench-chain-012-3dfc unrelated_tool use wnba wrong,true,31,5,5,0,0.0021,27,0.2310,32,true,true,discovery,gp0:injection_error+gp1:retrieval_error+hints[m_hop1_bridge=-1],0.2310,0.2310,true,true,0.2310,5,11,false,0.0000,4,13,0.3846,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
45,3,memoryarena-multihop-0006-610ead583b,granularity_error,ok,false,0,born event-level exact final memoryarena-chain-006-167a preserved right summary task topic use value,true,32,5,5,0,0.0000,27,0.0000,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,5,14,0.3571,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
46,4,toolbench-multihop-0044-399cb6f411,retrieval_error,ok,false,0,adjacent apis candidate details lookup resolves task title toolbench-chain-044-1fcd unrelated_tool use wrong,true,32,5,5,0,0.0000,27,0.0000,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,4,14,0.3571,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
47,4,toolbench-multihop-0023-fa19f57884,safety_error,ok,false,0,api details fact final required resolves safe task title toolbench toolbench-chain-023-b018 use,true,32,5,5,0,0.0370,32,0.0051,37,false,false,unrecovered,,0.0000,0.0000,false,false,0.0006,5,11,false,0.0006,5,14,0.3571,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
48,4,toolbench-multihop-0077-dfd3e4a7ac,injection_error,ok,false,0,api apis evidence fact final required resolves task toolbench toolbench-chain-077-3984 use verify,true,32,5,2,2,0.4976,0,0.0000,2,true,true,library,gp0:injection_error+gp1:injection_error,0.4976,0.4976,true,true,0.4984,3,11,true,0.2355,1,14,0.1429,true,3,3,2,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
49,4,memoryarena-multihop-0042-7faa42a542,granularity_error,ok,false,0,2013 exact final memoryarena-chain-042-54e6 prof right simerly summary task topic use years,true,33,5,5,0,0.0004,27,0.0000,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,5,14,0.3571,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
50,4,toolbench-multihop-0050-a48bbbd966,granularity_error,ok,false,0,details exact final preserved right summary task title toolbench-chain-050-25ab topic use value,true,33,5,5,0,0.0000,27,0.2479,32,true,true,discovery,gp1:injection_error,0.2479,0.2479,true,true,0.2479,2,11,true,0.2479,3,14,0.3571,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
51,4,memoryarena-multihop-0076-4cd301517e,retrieval_error,ok,false,0,adjacent candidate fact final lyon match memoryarena-chain-076-ce70 not-based resolves task use wrong,true,34,5,5,0,0.0000,27,-0.0802,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,true,0.1508,2,14,0.3571,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
52,4,toolbench-multihop-0046-a0146e023e,granularity_error,ok,false,0,details exact final preserved right summary task title toolbench-chain-046-7e5a topic use value,true,34,5,5,0,0.0000,27,0.0000,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,5,14,0.3571,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
53,4,memoryarena-multihop-0033-c0fe1f3b8e,injection_error,ok,false,0,2015 2023 aaron fact final hub memoryarena-chain-033-4c9e published resolves task trammell use,true,34,5,4,0,0.0000,23,0.0190,27,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,4,14,0.2857,true,0,4,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
54,4,memoryarena-multihop-0065-bfc47c2327,injection_error,ok,false,0,all answer correct dated excellent fact final memoryarena-chain-065-7b63 remembered resolves task use,true,34,5,4,0,0.0000,23,0.5000,27,true,true,discovery,gp0:retrieval_error+gp1:injection_error,0.5000,0.5000,true,true,0.1943,3,11,true,0.2500,4,14,0.2857,false,0,4,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
55,4,longmemeval-multihop-0069-0ccd915071,injection_error,ok,false,0,answer correct fact family final longmemeval-chain-069-fefe remembered resolves road task trip use,true,35,5,4,4,0.2504,0,0.0000,4,true,true,library,gp0:injection_error+gp1:injection_error,0.2504,0.2504,true,true,0.7049,3,11,true,0.1095,2,15,0.2667,true,1,1,4,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
56,4,longmemeval-multihop-0079-26ec82449f,safety_error,ok,false,0,answer correct fact final longmemeval-chain-079-8fac patagonia remembered resolves safe task use,true,36,5,5,0,0.0002,32,0.0002,37,false,false,unrecovered,,0.0000,0.0000,false,false,0.0002,5,11,false,0.0002,5,15,0.3333,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
57,4,toolbench-multihop-0042-d5c12572b2,granularity_error,ok,false,0,download exact final preserved right summary task toolbench-chain-042-8a16 topic use value vimeo,true,36,5,5,0,0.0000,27,0.2689,32,true,true,discovery,gp0:retrieval_error+gp1:granularity_error,0.2689,0.2689,true,true,0.2689,5,11,true,0.2596,1,15,0.3333,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
58,4,longmemeval-multihop-0015-6b85918923,safety_error,ok,false,0,absinthe answer correct fact final longmemeval-chain-015-ca23 remembered resolves safe task use,true,37,5,5,0,0.0005,32,0.0005,37,false,false,unrecovered,,0.0000,0.0000,false,false,0.0005,5,11,false,0.0005,5,16,0.3125,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
59,4,toolbench-multihop-0041-7d39e275a8,injection_error,ok,false,0,api download evidence fact final required resolves task toolbench toolbench-chain-041-621e use vimeo,true,37,5,1,1,0.2495,0,0.0000,1,true,true,library,gp1:injection_error+hints[m_hop2_gold=-1],0.2495,0.2495,true,true,0.2491,3,11,false,0.0000,0,16,0.0625,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
60,4,longmemeval-multihop-0056-ca397e5fe4,retrieval_error,ok,false,0,adjacent candidate correct fact final longmemeval-chain-056-3d05 not-tomatoes remembered resolves task use wrong,true,38,5,1,1,0.2202,0,0.0000,1,true,true,library,gp0:injection_error+gp1:retrieval_error,0.2202,0.2202,true,true,0.2202,1,11,false,0.0000,1,16,0.0625,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
61,5,toolbench-multihop-0071-740ca0a3a2,safety_error,ok,false,0,api fact final get guinness-world-records-api required resolves safe task toolbench toolbench-chain-071-e758 use,true,39,5,2,2,0.2500,0,0.0000,2,true,true,library,gp0:injection_error+gp1:injection_error,0.2500,0.2500,true,true,0.4546,1,11,true,0.4545,2,16,0.1250,true,1,1,2,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
62,5,memoryarena-multihop-0039-01f09566b4,safety_error,ok,false,0,answer final gamble memoryarena-chain-039-a036 museum port resolves safe sea shore task use,true,40,5,5,0,0.0000,32,0.0004,37,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0000,5,16,0.3125,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
63,5,toolbench-multihop-0024-1b112eec37,retrieval_error,ok,false,0,adjacent apis candidate details final lookup resolves task toolbench-chain-024-799c unrelated_tool use wrong,true,40,5,5,0,0.0557,27,-0.1705,32,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,5,11,false,0.0557,5,16,0.3125,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
64,5,toolbench-multihop-0037-22a965173e,injection_error,ok,false,0,api details evidence fact final ott required resolves task toolbench toolbench-chain-037-e818 use,true,40,5,1,1,0.4943,0,0.0000,1,true,true,library,gp0:injection_error+gp1:injection_error,0.4943,0.4943,true,true,0.2738,3,11,false,0.0000,1,16,0.0625,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
65,5,toolbench-multihop-0054-ce1dcb4d86,granularity_error,ok,false,0,download exact final preserved right summary task toolbench-chain-054-e990 topic use value vimeo,true,41,5,2,2,0.2129,0,0.0000,2,true,true,library,gp0:retrieval_error+gp1:granularity_error,0.2129,0.2129,true,false,0.0128,5,11,false,0.0202,2,16,0.1250,true,4,4,2,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
66,5,memoryarena-multihop-0034-372c5ca623,granularity_error,ok,false,0,answer exact final jin lee memoryarena-chain-034-9054 name right summary task topic use,true,42,5,5,0,0.0045,27,0.4999,32,true,true,discovery,gp0:retrieval_error+gp1:granularity_error,0.4999,0.4999,true,true,0.4999,5,11,true,0.4999,2,16,0.3125,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
